Bacalhau à Brás,45.99793359559088
Bife à Parmegiana,46.89394607636746
Cachorro-Quente Gourmet,73.25462794678296
Café com Leite,44.22360042526743
Caipirinha de Limão,23.319828059297244
Cappuccino,42.307195189310676
Carne de Sol com Macaxeira,59.91679916585161
Cerveja Artesanal,74.47784082969254
Cerveja IPA,32.008454233642
Cerveja Lager,54.206942899898756
Cerveja Long Neck,45.28642422391482
Coca-Cola Zero,62.43877477989237
Escondidinho de Carne Seca,66.82802794997875
Espumante Taça,51.67974066109723
Estrogonofe de Frango,74.69704000183772
Feijoada Completa,24.7288391967313
Filé Mignon ao Molho Madeira,56.35615646446003
Frango Grelhado com Legumes,54.40484391864394
Frango Xadrez,31.325957552527996
Gin Tônica,25.40109786165773
Guaraná Antártica,31.858718230379715
Hambúrguer Artesanal,68.68602591249076
Ice,38.87339472629722
Kibe Assado,35.26407257384231
Lasanha de Carne,68.63244108859973
Limonada Suíça,58.76538746864798
Mate Leão,61.178902464105725
Milkshake de Morango,65.32874368217672
Mojito,40.31934942317337
Moqueca de Peixe,78.70191743188606
Panqueca de Frango,22.881754623312933
Picanha na Chapa,53.96447676725291
Polenta com Ragu,69.3557071503664
Refrigerante Lata,26.19280618648217
Refrigerante Zero,32.46783039991329
Risoto de Camarão,20.184197199412537
Rum com Coca,24.870435331869665
Salmão Grelhado,77.40266983371869
Spaghetti à Bolonhesa,65.83515362137345
Suco Natural de Laranja,39.68014348226744
Suco de Maracujá,57.37117481481774
Suco de Uva Integral,76.33266598713737
Tequila Shot,50.581986339061814
Tilápia Frita,22.223077102394857
Vinho Branco Suave Taça,24.871687402463646
Whisky,58.13928029223931
Água com Gás,56.25155167185747
Água de Coco,70.79363198848283
